0,4869085,Den gyllene paviljongens tempel
1,15130,Tempel
2,1129941,Otagi Nenbutsu-ji
3,330348,Daigoji
4,457055,Historiska Kyoto
5,347615,Ryoanji
6,4914601,Buddhistiska tempel
7,4962707,Solens tempel
8,3879485,Jupiters tempel
9,6888919,Månens tempel
10,845141,Ginkaku-ji
11,6353319,Tempel-Berg
12,511442,"Nara, Nara"
13,7038296,Desa Tempel
14,3996371,Jordbrukets tempel
15,8252622,3808 Tempel
16,94729,Pachacamac (tempel)
17,8150106,Placide Tempels
18,875764,Tempel 2
19,218610,Jerusalems tempel
20,8241146,Ares tempel i Aten
21,4895914,"Augustus tempel, Pula"
22,4909219,Kättarnas tempel
23,8253525,Juno Sospitas tempel
24,1148426,Lyckans tempel
25,61045,Tempel Riddare Orden
26,8253538,Juno Reginas tempel
27,7040824,Tempel (olika betydelser)
28,7105610,Gunung Tempel
29,6888887,Jordens tempel
30,1443411,Helgedomar och tempel i Nikko
31,164913,Tempel 1
32,8064380,Tempel av alkohol
33,96444,Jupiter Stators tempel
34,616730,Bacchi Tempel
35,96263,Ernst Wilhelm Leberecht Tempel
36,8239759,Afrodite Euploias tempel
37,2792306,55P/Tempel-Tuttle
38,1063095,Jerusalems tredje tempel
39,3996335,Förfädernas tempel
40,8253554,Magna Maters tempel
41,83904,Kyoto
42,1131604,Neptuni tempel
43,669657,Solens tempel (film)
44,54951,Hercules Victors tempel
45,8238947,Juno Monetas tempel
46,8253612,Athena Itonias tempel
47,8253533,Juno Lucinas tempel
48,4900418,Claudius tempel
49,1971,Uppsala tempel