Javas,0
Javor,0
Java,3
Javea,0
Jäv,0
Jäven,0
Javatiger,2
Lac Java,0
Mali Javor,0
Veliki Javor,0
Java Park,0
Java Servlet,0
Java (programspråk),0
Javor Brdo,0
Javor Planina,0
Javad Kazemian,0
Javea (ort),0
Javor (ravin),0
JAV,0
Javea (kommun),0
Java (olika betydelser),1
Oštri Javor,0
Debeli Javor,0
Listrodromus javae,0
Gryon javense,0
Žuti Javor,0
Belenois java,0
Krivi Javor,0
Cryptochironomus javae,0
Culicoides javae,0
Idiotrella javae,0
Croix de Javerne,0
Tehuset Java,0
Neobrachista javae,0
Étang Java,0
Philotrypesis javae,0
Javor Brdo (kulle),0
Java Development Kit,0
Javor (källa i Montenegro),0
Java Runtime Environment,0
Eupelmus javae,0
Mirollia javae,0
Java Virtual Machine,0
Javor (Lužické hory),0
Lac de Java,0
Java Desktop System,0
Javad Nekounam,0
Mohammad Javad Zarif,0
Java Island,0
Jävern,0
"Mongolernas invasion av Java",2